dataset_name,llm,time,baseline
Airline,Gemini-1.5,362.18,CatDB
Airline,Llama-3.1-70b,66.11,CatDB
Airline,GPT-4o,66.11,CatDB
IMDB,Gemini-1.5,1679.71,CatDB
IMDB,Llama-3.1-70b,1679.71,CatDB
IMDB,GPT-4o,1679.71,CatDB
Accidents,Gemini-1.5,1688.84,CatDB
Accidents,Llama-3.1-70b,615.9,CatDB
Accidents,GPT-4o,1978.25,CatDB
Financial,Gemini-1.5,215.28,CatDB
Financial,Llama-3.1-70b,215.28,CatDB
Financial,GPT-4o,215.28,CatDB
CMC,Gemini-1.5,19.8,CatDB
CMC,Llama-3.1-70b,19.57,CatDB
CMC,GPT-4o,14.21,CatDB
Bike-Sharing,Gemini-1.5,33.01,CatDB
Bike-Sharing,Llama-3.1-70b,34.38,CatDB
Bike-Sharing,GPT-4o,13.51,CatDB
House-Sales,Gemini-1.5,49.84,CatDB
House-Sales,Llama-3.1-70b,174.58,CatDB
House-Sales,GPT-4o,88.82,CatDB
NYC,Gemini-1.5,115.35,CatDB
NYC,Llama-3.1-70b,150.97,CatDB
NYC,GPT-4o,32.83,CatDB
Airline,Gemini-1.5,93.15,AIDE
Airline,Llama-3.1-70b,0,AIDE
Airline,GPT-4o,0,AIDE
IMDB,Gemini-1.5,0,AIDE
IMDB,Llama-3.1-70b,0,AIDE
IMDB,GPT-4o,0,AIDE
Accidents,Gemini-1.5,0,AIDE
Accidents,Llama-3.1-70b,0,AIDE
Accidents,GPT-4o,0,AIDE
Financial,Gemini-1.5,0,AIDE
Financial,Llama-3.1-70b,0,AIDE
Financial,GPT-4o,0,AIDE
CMC,Gemini-1.5,40,AIDE
CMC,Llama-3.1-70b,985.11,AIDE
CMC,GPT-4o,40,AIDE
Bike-Sharing,Gemini-1.5,40,AIDE
Bike-Sharing,Llama-3.1-70b,988.37,AIDE
Bike-Sharing,GPT-4o,40,AIDE
House-Sales,Gemini-1.5,40,AIDE
House-Sales,Llama-3.1-70b,997.11,AIDE
House-Sales,GPT-4o,40,AIDE
NYC,Gemini-1.5,40,AIDE
NYC,Llama-3.1-70b,1189.64,AIDE
NYC,GPT-4o,40,AIDE
Airline,Gemini-1.5,0,CAAFE
Airline,Llama-3.1-70b,0,CAAFE
Airline,GPT-4o,0,CAAFE
IMDB,Gemini-1.5,0,CAAFE
IMDB,Llama-3.1-70b,0,CAAFE
IMDB,GPT-4o,0,CAAFE
Accidents,Gemini-1.5,0,CAAFE
Accidents,Llama-3.1-70b,0,CAAFE
Accidents,GPT-4o,0,CAAFE
Financial,Gemini-1.5,0,CAAFE
Financial,Llama-3.1-70b,0,CAAFE
Financial,GPT-4o,0,CAAFE
CMC,Gemini-1.5,445.14,CAAFE
CMC,Llama-3.1-70b,79.37,CAAFE
CMC,GPT-4o,445.96,CAAFE
Bike-Sharing,Gemini-1.5,0,CAAFE
Bike-Sharing,Llama-3.1-70b,0,CAAFE
Bike-Sharing,GPT-4o,0,CAAFE
House-Sales,Gemini-1.5,0,CAAFE
House-Sales,Llama-3.1-70b,0,CAAFE
House-Sales,GPT-4o,0,CAAFE
NYC,Gemini-1.5,0,CAAFE
NYC,Llama-3.1-70b,0,CAAFE
NYC,GPT-4o,0,CAAFE
Airline,Gemini-1.5,503.3,AutoGen
Airline,Llama-3.1-70b,603.3,AutoGen
Airline,GPT-4o,214.49,AutoGen
IMDB,Gemini-1.5,3225.36,AutoGen
IMDB,Llama-3.1-70b,327.6,AutoGen
IMDB,GPT-4o,19251.69,AutoGen
Accidents,Gemini-1.5,510.87,AutoGen
Accidents,Llama-3.1-70b,1295.43,AutoGen
Accidents,GPT-4o,571.77,AutoGen
Financial,Gemini-1.5,700.15,AutoGen
Financial,Llama-3.1-70b,818.76,AutoGen
Financial,GPT-4o,116.82,AutoGen
CMC,Gemini-1.5,19.71,AutoGen
CMC,Llama-3.1-70b,10.15,AutoGen
CMC,GPT-4o,10,AutoGen
Bike-Sharing,Gemini-1.5,210.27,AutoGen
Bike-Sharing,Llama-3.1-70b,10,AutoGen
Bike-Sharing,GPT-4o,13.28,AutoGen
House-Sales,Gemini-1.5,31.16,AutoGen
House-Sales,Llama-3.1-70b,20.48,AutoGen
House-Sales,GPT-4o,0,AutoGen
NYC,Gemini-1.5,464.8,AutoGen
NYC,Llama-3.1-70b,445.24,AutoGen
NYC,GPT-4o,262.17,AutoGen